timestamp,demand_forecast_mw
2023-01-13 01:00:00,145.61688
2023-01-13 02:00:00,145.40149
2023-01-13 03:00:00,145.40149
2023-01-13 04:00:00,146.70323
2023-01-13 05:00:00,146.76974
2023-01-13 06:00:00,146.75688
2023-01-13 07:00:00,147.02747
2023-01-13 08:00:00,147.02747
2023-01-13 09:00:00,147.02747
2023-01-13 10:00:00,147.32457
2023-01-13 11:00:00,147.32457
2023-01-13 12:00:00,147.32457
2023-01-13 13:00:00,147.27739
2023-01-13 14:00:00,147.27739
2023-01-13 15:00:00,147.27739
2023-01-13 16:00:00,147.49278
2023-01-13 17:00:00,147.27739
2023-01-13 18:00:00,147.27739
2023-01-13 19:00:00,147.27739
2023-01-13 20:00:00,147.27739
2023-01-13 21:00:00,147.27739
2023-01-13 22:00:00,147.65628
2023-01-13 23:00:00,147.5551
2023-01-14 00:00:00,148.41873
2023-01-14 01:00:00,148.88026
2023-01-14 02:00:00,148.88026
2023-01-14 03:00:00,148.88026
2023-01-14 04:00:00,150.182
2023-01-14 05:00:00,149.82895
2023-01-14 06:00:00,149.82895
2023-01-14 07:00:00,150.09953
2023-01-14 08:00:00,150.09953
2023-01-14 09:00:00,150.09953
2023-01-14 10:00:00,150.09953
2023-01-14 11:00:00,150.09953
2023-01-14 12:00:00,150.31493
2023-01-14 13:00:00,150.05235
2023-01-14 14:00:00,150.05235
2023-01-14 15:00:00,150.26775
2023-01-14 16:00:00,150.05235
2023-01-14 17:00:00,150.05235
2023-01-14 18:00:00,150.05235
2023-01-14 19:00:00,150.05235
2023-01-14 20:00:00,150.05235
2023-01-14 21:00:00,150.26775
2023-01-14 22:00:00,150.43124
2023-01-14 23:00:00,150.33006
2023-01-15 00:00:00,145.60814
2023-01-15 01:00:00,146.28506
2023-01-15 02:00:00,146.06967
2023-01-15 03:00:00,146.06967
2023-01-15 04:00:00,147.5868
2023-01-15 05:00:00,147.37141
2023-01-15 06:00:00,147.37141
2023-01-15 07:00:00,147.642
2023-01-15 08:00:00,147.642
2023-01-15 09:00:00,147.642
2023-01-15 10:00:00,147.642
2023-01-15 11:00:00,147.642
2023-01-15 12:00:00,147.642
2023-01-15 13:00:00,147.81021
2023-01-15 14:00:00,147.59482
2023-01-15 15:00:00,147.59482
2023-01-15 16:00:00,147.81021
2023-01-15 17:00:00,147.59482
2023-01-15 18:00:00,147.59482
2023-01-15 19:00:00,147.59482
2023-01-15 20:00:00,147.59482
2023-01-15 21:00:00,147.59482
2023-01-15 22:00:00,147.97371
2023-01-15 23:00:00,147.87253
2023-01-16 00:00:00,136.62975
2023-01-16 01:00:00,137.09128
2023-01-16 02:00:00,137.09128
2023-01-16 03:00:00,136.89989
2023-01-16 04:00:00,138.20163
2023-01-16 05:00:00,138.26814
2023-01-16 06:00:00,138.42363
2023-01-16 07:00:00,138.50282
2023-01-16 08:00:00,138.50282
2023-01-16 09:00:00,138.69421
2023-01-16 10:00:00,138.79993
2023-01-16 11:00:00,138.79993
2023-01-16 12:00:00,138.99132
2023-01-16 13:00:00,138.94414
2023-01-16 14:00:00,138.75275
2023-01-16 15:00:00,138.94414
2023-01-16 16:00:00,138.94414
2023-01-16 17:00:00,138.94414
2023-01-16 18:00:00,138.94414
2023-01-16 19:00:00,138.94414
2023-01-16 20:00:00,138.75275
2023-01-16 21:00:00,138.75275
2023-01-16 22:00:00,139.32303
2023-01-16 23:00:00,139.32303
2023-01-17 00:00:00,139.2174
2023-01-17 01:00:00,139.67894
2023-01-17 02:00:00,139.67894
2023-01-17 03:00:00,139.48755
2023-01-17 04:00:00,140.98068
2023-01-17 05:00:00,141.0472
2023-01-17 06:00:00,140.8199
2023-01-17 07:00:00,141.09048
2023-01-17 08:00:00,141.28188
2023-01-17 09:00:00,141.28188
2023-01-17 10:00:00,141.38759
2023-01-17 11:00:00,141.57898
2023-01-17 12:00:00,141.57898
2023-01-17 13:00:00,141.5318
2023-01-17 14:00:00,141.5318
2023-01-17 15:00:00,141.5318
2023-01-17 16:00:00,141.34041
2023-01-17 17:00:00,141.34041
2023-01-17 18:00:00,141.34041
2023-01-17 19:00:00,141.34041
2023-01-17 20:00:00,141.5318
2023-01-17 21:00:00,141.5318
2023-01-17 22:00:00,141.91069
2023-01-17 23:00:00,141.91069
2023-01-18 00:00:00,144.42279
2023-01-18 01:00:00,144.88432
2023-01-18 02:00:00,144.88432
2023-01-18 03:00:00,144.88432
2023-01-18 04:00:00,146.18607
2023-01-18 05:00:00,146.44397
2023-01-18 06:00:00,146.5035
2023-01-18 07:00:00,146.77408
2023-01-18 08:00:00,146.77408
2023-01-18 09:00:00,146.77408
2023-01-18 10:00:00,146.87979
2023-01-18 11:00:00,147.07118
2023-01-18 12:00:00,146.87979
2023-01-18 13:00:00,146.94112
2023-01-18 14:00:00,146.83261
2023-01-18 15:00:00,147.024
2023-01-18 16:00:00,146.83261
2023-01-18 17:00:00,147.024
2023-01-18 18:00:00,147.024
2023-01-18 19:00:00,147.024
2023-01-18 20:00:00,147.024
2023-01-18 21:00:00,147.024
2023-01-18 22:00:00,147.4029
2023-01-18 23:00:00,147.4029
2023-01-19 00:00:00,144.42279
2023-01-19 01:00:00,145.07571
2023-01-19 02:00:00,144.88432
2023-01-19 03:00:00,144.88432
2023-01-19 04:00:00,146.18607
